,res,nx,n_iter,time,threads,vectorized
0,0.0401134,512,1000,0.1454,2,True
1,0.0401134,512,1000,0.145615,2,True
2,0.0401134,512,1000,0.14494,2,True
3,0.0401134,512,1000,0.150065,2,True
4,0.0401134,512,1000,0.145523,2,True
5,0.0401134,512,1000,0.153675,2,True
6,0.0401134,512,1000,0.143665,2,True
7,0.0401134,512,1000,0.159348,2,True
8,0.0401134,512,1000,0.167397,2,True
9,0.0401134,512,1000,0.148964,2,True
10,0.0401134,512,1000,0.149955,2,True
11,0.0401134,512,1000,0.154065,2,True
12,0.0401134,512,1000,0.146089,2,True
13,0.0401134,512,1000,0.140782,2,True
14,0.0401134,512,1000,0.145667,2,True
15,0.0401134,512,1000,0.146784,2,True
16,0.0401134,512,1000,0.143882,2,True
17,0.0401134,512,1000,0.142771,2,True
18,0.0401134,512,1000,0.158138,2,True
19,0.0401134,512,1000,0.166976,2,True
20,0.0401134,512,1000,0.154377,2,True
21,0.0401134,512,1000,0.148039,2,True
22,0.0401134,512,1000,0.14641,2,True
23,0.0401134,512,1000,0.141391,2,True
24,0.0401134,512,1000,0.160937,2,True
25,0.0401134,512,1000,0.143622,2,True
26,0.0401134,512,1000,0.14526,2,True
27,0.0401134,512,1000,0.143258,2,True
28,0.0401134,512,1000,0.145949,2,True
29,0.0401134,512,1000,0.144126,2,True
30,0.0401134,512,1000,0.0790784,4,True
31,0.0401134,512,1000,0.0821591,4,True
32,0.0401134,512,1000,0.0787792,4,True
33,0.0401134,512,1000,0.0787881,4,True
34,0.0401134,512,1000,0.0813524,4,True
35,0.0401134,512,1000,0.0824642,4,True
36,0.0401134,512,1000,0.0805618,4,True
37,0.0401134,512,1000,0.0819595,4,True
38,0.0401134,512,1000,0.0829244,4,True
39,0.0401134,512,1000,0.0811667,4,True
40,0.0401134,512,1000,0.0808681,4,True
41,0.0401134,512,1000,0.0845741,4,True
42,0.0401134,512,1000,0.085259,4,True
43,0.0401134,512,1000,0.0857699,4,True
44,0.0401134,512,1000,0.160037,4,True
45,0.0401134,512,1000,0.0889787,4,True
46,0.0401134,512,1000,0.0877843,4,True
47,0.0401134,512,1000,0.0836807,4,True
48,0.0401134,512,1000,0.0844721,4,True
49,0.0401134,512,1000,0.0852086,4,True
50,0.0401134,512,1000,0.0859447,4,True
51,0.0401134,512,1000,0.0848427,4,True
52,0.0401134,512,1000,0.0831643,4,True
53,0.0401134,512,1000,0.0858948,4,True
54,0.0401134,512,1000,0.0900567,4,True
55,0.0401134,512,1000,0.0916413,4,True
56,0.0401134,512,1000,0.0899658,4,True
57,0.0401134,512,1000,0.0889371,4,True
58,0.0401134,512,1000,0.0902171,4,True
59,0.0401134,512,1000,0.114323,4,True
60,0.0401134,512,1000,0.119395,8,True
61,0.0401134,512,1000,0.122185,8,True
62,0.0401134,512,1000,0.138539,8,True
63,0.0401134,512,1000,0.136723,8,True
64,0.0401134,512,1000,0.134458,8,True
65,0.0401134,512,1000,0.130219,8,True
66,0.0401134,512,1000,0.142143,8,True
67,0.0401134,512,1000,0.127931,8,True
68,0.0401134,512,1000,0.131147,8,True
69,0.0401134,512,1000,0.136862,8,True
70,0.0401134,512,1000,0.164052,8,True
71,0.0401134,512,1000,0.170654,8,True
72,0.0401134,512,1000,0.133789,8,True
73,0.0401134,512,1000,0.129288,8,True
74,0.0401134,512,1000,0.131148,8,True
75,0.0401134,512,1000,0.132044,8,True
76,0.0401134,512,1000,0.129431,8,True
77,0.0401134,512,1000,0.129889,8,True
78,0.0401134,512,1000,0.132116,8,True
79,0.0401134,512,1000,0.144788,8,True
80,0.0401134,512,1000,0.164644,8,True
81,0.0401134,512,1000,0.129657,8,True
82,0.0401134,512,1000,0.143794,8,True
83,0.0401134,512,1000,0.135531,8,True
84,0.0401134,512,1000,0.13102,8,True
85,0.0401134,512,1000,0.150569,8,True
86,0.0401134,512,1000,0.138443,8,True
87,0.0401134,512,1000,0.137269,8,True
88,0.0401134,512,1000,0.144834,8,True
89,0.0401134,512,1000,0.138872,8,True
90,0.0401134,512,1000,0.437446,16,True
91,0.0401134,512,1000,0.410927,16,True
92,0.0401134,512,1000,0.381539,16,True
93,0.0401134,512,1000,0.399866,16,True
94,0.0401134,512,1000,0.437982,16,True
95,0.0401134,512,1000,0.406298,16,True
96,0.0401134,512,1000,0.364275,16,True
97,0.0401134,512,1000,0.395775,16,True
98,0.0401134,512,1000,0.41285,16,True
99,0.0401134,512,1000,0.384242,16,True
100,0.0401134,512,1000,0.397518,16,True
101,0.0401134,512,1000,0.4202,16,True
102,0.0401134,512,1000,0.42529,16,True
103,0.0401134,512,1000,0.387221,16,True
104,0.0401134,512,1000,0.378514,16,True
105,0.0401134,512,1000,0.428811,16,True
106,0.0401134,512,1000,0.409644,16,True
107,0.0401134,512,1000,0.377375,16,True
108,0.0401134,512,1000,0.410892,16,True
109,0.0401134,512,1000,0.38196,16,True
110,0.0401134,512,1000,0.389077,16,True
111,0.0401134,512,1000,0.379209,16,True
112,0.0401134,512,1000,0.39184,16,True
113,0.0401134,512,1000,0.392328,16,True
114,0.0401134,512,1000,0.390578,16,True
115,0.0401134,512,1000,0.375116,16,True
116,0.0401134,512,1000,0.409607,16,True
117,0.0401134,512,1000,0.419809,16,True
118,0.0401134,512,1000,0.385205,16,True
119,0.0401134,512,1000,0.390927,16,True
120,0.0576041,1024,1000,1.06873,2,True
121,0.0576041,1024,1000,1.02428,2,True
122,0.0576041,1024,1000,0.971042,2,True
123,0.0576041,1024,1000,1.01607,2,True
124,0.0576041,1024,1000,1.02498,2,True
125,0.0576041,1024,1000,0.980478,2,True
126,0.0576041,1024,1000,0.999349,2,True
127,0.0576041,1024,1000,1.00873,2,True
128,0.0576041,1024,1000,0.978602,2,True
129,0.0576041,1024,1000,1.0181,2,True
130,0.0576041,1024,1000,1.04307,2,True
131,0.0576041,1024,1000,0.979589,2,True
132,0.0576041,1024,1000,1.00798,2,True
133,0.0576041,1024,1000,1.08438,2,True
134,0.0576041,1024,1000,1.01364,2,True
135,0.0576041,1024,1000,1.00135,2,True
136,0.0576041,1024,1000,1.03477,2,True
137,0.0576041,1024,1000,1.04426,2,True
138,0.0576041,1024,1000,0.974956,2,True
139,0.0576041,1024,1000,1.02338,2,True
140,0.0576041,1024,1000,0.991343,2,True
141,0.0576041,1024,1000,1.00275,2,True
142,0.0576041,1024,1000,1.01288,2,True
143,0.0576041,1024,1000,1.00715,2,True
144,0.0576041,1024,1000,0.997466,2,True
145,0.0576041,1024,1000,0.97999,2,True
146,0.0576041,1024,1000,1.00368,2,True
147,0.0576041,1024,1000,0.9783,2,True
148,0.0576041,1024,1000,0.974567,2,True
149,0.0576041,1024,1000,1.01513,2,True
150,0.0576041,1024,1000,0.752279,4,True
151,0.0576041,1024,1000,0.756118,4,True
152,0.0576041,1024,1000,0.759908,4,True
153,0.0576041,1024,1000,0.785162,4,True
154,0.0576041,1024,1000,0.734311,4,True
155,0.0576041,1024,1000,0.785815,4,True
156,0.0576041,1024,1000,0.800773,4,True
157,0.0576041,1024,1000,0.799185,4,True
158,0.0576041,1024,1000,0.771823,4,True
159,0.0576041,1024,1000,0.802125,4,True
160,0.0576041,1024,1000,0.75028,4,True
161,0.0576041,1024,1000,0.779931,4,True
162,0.0576041,1024,1000,0.786525,4,True
163,0.0576041,1024,1000,0.807673,4,True
164,0.0576041,1024,1000,0.778581,4,True
165,0.0576041,1024,1000,0.809852,4,True
166,0.0576041,1024,1000,0.760064,4,True
167,0.0576041,1024,1000,0.836051,4,True
168,0.0576041,1024,1000,0.815962,4,True
169,0.0576041,1024,1000,0.831545,4,True
170,0.0576041,1024,1000,0.734562,4,True
171,0.0576041,1024,1000,0.797391,4,True
172,0.0576041,1024,1000,0.812248,4,True
173,0.0576041,1024,1000,0.764928,4,True
174,0.0576041,1024,1000,0.868021,4,True
175,0.0576041,1024,1000,0.806838,4,True
176,0.0576041,1024,1000,0.809726,4,True
177,0.0576041,1024,1000,0.819111,4,True
